state,holiday,start,end
Baden-Württemberg,Osterferien,2022-04-06,2022-04-10
Baden-Württemberg,Pfingstferien,2022-05-25,2022-06-05
Baden-Württemberg,Sommerferien,2022-07-29,2022-09-11
Baden-Württemberg,Herbstferien,2022-11-02,2022-11-06
Baden-Württemberg,Weihnachtsferien,2022-12-23,2023-01-08
Bayern,Osterferien,2022-03-29,2022-04-10
Bayern,Pfingstferien,2022-05-25,2022-06-04
Bayern,Sommerferien,2022-07-30,2022-09-13
Bayern,Herbstferien,2022-11-02,2022-11-05
Bayern,Herbstferien,2022-11-17,2022-11-17
Bayern,Weihnachtsferien,2022-12-24,2023-01-08
Berlin,Winterferien,2022-02-01,2022-02-06
Berlin,Osterferien,2022-03-29,2022-04-10
Berlin,Pfingstferien,2022-05-14,2022-05-14
Berlin,Sommerferien,2022-06-24,2022-08-06
Berlin,Herbstferien,2022-10-11,2022-10-23
Berlin,Weihnachtsferien,2022-12-23,2022-12-31
Brandenburg,Winterferien,2022-02-01,2022-02-06
Brandenburg,Osterferien,2022-03-29,2022-04-09
Brandenburg,Sommerferien,2022-06-24,2022-08-07
Brandenburg,Herbstferien,2022-10-11,2022-10-23
Brandenburg,Weihnachtsferien,2022-12-23,2022-12-31
Bremen,Winterferien,2022-02-01,2022-02-02
Bremen,Osterferien,2022-03-27,2022-04-10
Bremen,Pfingstferien,2022-05-14,2022-05-14
Bremen,Pfingstferien,2022-05-25,2022-05-25
Bremen,Sommerferien,2022-07-22,2022-09-01
Bremen,Herbstferien,2022-10-18,2022-10-30
Bremen,Weihnachtsferien,2022-12-23,2023-01-08
Hamburg,Winterferien,2022-01-29,2022-01-29
Hamburg,Osterferien,2022-03-01,2022-03-12
Hamburg,Pfingstferien,2022-05-10,2022-05-14
Hamburg,Sommerferien,2022-06-24,2022-08-04
Hamburg,Herbstferien,2022-10-04,2022-10-15
Hamburg,Weihnachtsferien,2022-12-23,2023-01-04
Hessen,Osterferien,2022-04-06,2022-04-16
Hessen,Sommerferien,2022-07-19,2022-08-27
Hessen,Herbstferien,2022-10-11,2022-10-23
Hessen,Weihnachtsferien,2022-12-23,2023-01-08
Mecklenburg-Vorpommern,Winterferien,2022-02-06,2022-02-18
Mecklenburg-Vorpommern,Winterferien,2022-02-19,2022-02-19
Mecklenburg-Vorpommern,Osterferien,2022-03-29,2022-04-07
Mecklenburg-Vorpommern,Pfingstferien,2022-05-14,2022-05-14
Mecklenburg-Vorpommern,Pfingstferien,2022-05-21,2022-05-25
Mecklenburg-Vorpommern,Sommerferien,2022-06-21,2022-07-31
Mecklenburg-Vorpommern,Herbstferien,2022-10-02,2022-10-09
Mecklenburg-Vorpommern,Herbstferien,2022-11-01,2022-11-01
Mecklenburg-Vorpommern,Herbstferien,2022-11-02,2022-11-02
Mecklenburg-Vorpommern,Weihnachtsferien,2022-12-22,2022-12-31
Niedersachsen,Winterferien,2022-02-01,2022-02-02
Niedersachsen,Osterferien,2022-03-29,2022-04-09
Niedersachsen,Pfingstferien,2022-05-14,2022-05-14
Niedersachsen,Pfingstferien,2022-05-25,2022-05-25
Niedersachsen,Sommerferien,2022-07-22,2022-09-01
Niedersachsen,Herbstferien,2022-10-18,2022-10-29
Niedersachsen,Weihnachtsferien,2022-12-23,2023-01-07
Nordrhein-Westfalen,Osterferien,2022-03-29,2022-04-10
Nordrhein-Westfalen,Pfingstferien,2022-05-25,2022-05-25
Nordrhein-Westfalen,Sommerferien,2022-07-05,2022-08-17
Nordrhein-Westfalen,Herbstferien,2022-10-11,2022-10-23
Nordrhein-Westfalen,Weihnachtsferien,2022-12-24,2023-01-08
Rheinland-Pfalz,Osterferien,2022-03-29,2022-04-06
Rheinland-Pfalz,Pfingstferien,2022-05-25,2022-06-02
Rheinland-Pfalz,Sommerferien,2022-07-19,2022-08-27
Rheinland-Pfalz,Herbstferien,2022-10-11,2022-10-22
Rheinland-Pfalz,Weihnachtsferien,2022-12-23,2022-12-31
Saarland,Winterferien,2022-02-15,2022-02-19
Saarland,Osterferien,2022-03-29,2022-04-07
Saarland,Pfingstferien,2022-05-25,2022-05-28
Saarland,Sommerferien,2022-07-19,2022-08-27
Saarland,Herbstferien,2022-10-18,2022-10-29
Saarland,Weihnachtsferien,2022-12-23,2023-01-03
Sachsen,Winterferien,2022-02-01,2022-02-07
Sachsen,Osterferien,2022-03-27,2022-04-10
Sachsen,Pfingstferien,2022-05-14,2022-05-14
Sachsen,Sommerferien,2022-07-26,2022-09-03
Sachsen,Herbstferien,2022-10-18,2022-10-30
Sachsen,Weihnachtsferien,2022-12-23,2023-01-01
Sachsen-Anhalt,Winterferien,2022-02-08,2022-02-13
Sachsen-Anhalt,Osterferien,2022-03-29,2022-04-03
Sachsen-Anhalt,Pfingstferien,2022-05-10,2022-05-22
Sachsen-Anhalt,Sommerferien,2022-07-22,2022-09-01
Sachsen-Anhalt,Herbstferien,2022-10-25,2022-10-30
Sachsen-Anhalt,Weihnachtsferien,2022-12-22,2023-01-08
Schleswig-Holstein,Osterferien,2022-04-01,2022-04-16
Schleswig-Holstein,Pfingstferien,2022-05-14,2022-05-15
Schleswig-Holstein,Sommerferien,2022-06-21,2022-07-31
Schleswig-Holstein,Herbstferien,2022-10-04,2022-10-16
Schleswig-Holstein,Weihnachtsferien,2022-12-23,2023-01-08
Thüringen,Winterferien,2022-01-25,2022-01-30
Thüringen,Osterferien,2022-03-29,2022-04-10
Thüringen,Pfingstferien,2022-05-14,2022-05-14
Thüringen,Sommerferien,2022-07-26,2022-09-04
Thüringen,Herbstferien,2022-10-25,2022-11-06
Thüringen,Weihnachtsferien,2022-12-23,2022-12-31
